Iteration, Displacement, Magnitude
1, -0.00976814329624176, 0.01007855124771595
2, -0.019508156925439835, 0.020129600539803505
3, -0.02921375073492527, 0.03014644980430603
4, -0.03887884318828583, 0.0401226282119751
5, -0.04849759489297867, 0.05005192756652832
6, -0.05806440860033035, 0.05992903187870979
7, -0.06757400929927826, 0.06974949687719345
8, -0.07702139019966125, 0.07950787246227264
9, -0.08640185743570328, 0.08919849246740341
10, -0.09571104496717453, 0.0988176241517067
11, -0.10494492948055267, 0.1083601862192154
12, -0.11409978568553925, 0.11782224476337433
13, -0.12317223846912384, 0.12720069289207458
14, -0.1321592628955841, 0.13649430871009827
15, -0.141058087348938, 0.14569851756095886
16, -0.14986634254455566, 0.15481089055538177
17, -0.1585819125175476, 0.16382867097854614
18, -0.16720302402973175, 0.17274990677833557
19, -0.17572811245918274, 0.18157325685024261
20, -0.18415600061416626, 0.19029973447322845
21, -0.19248570501804352, 0.19893325865268707
22, -0.20071649551391602, 0.20746618509292603
23, -0.20884786546230316, 0.21589769423007965
24, -0.21687956154346466, 0.2242274284362793
25, -0.22481152415275574, 0.23245519399642944
26, -0.23264387249946594, 0.24058367311954498
27, -0.24037690460681915, 0.24861149489879608
28, -0.24801105260849, 0.25653892755508423
29, -0.2555469274520874, 0.26437222957611084
30, -0.2629852592945099, 0.2721092104911804
31, -0.2703268527984619, 0.2797471880912781
32, -0.2775726914405823, 0.2872870862483978
33, -0.28472375869750977, 0.29473012685775757
34, -0.2917812466621399, 0.3020784556865692
35, -0.2987461984157562, 0.3093336820602417
36, -0.3056199550628662, 0.31649672985076904
37, -0.31240376830101013, 0.3235701322555542
38, -0.31909894943237305, 0.33055591583251953
39, -0.3257068395614624, 0.33745306730270386
40, -0.3322288691997528, 0.3442653715610504
41, -0.3386664390563965, 0.350992351770401
42, -0.3450208902359009, 0.35763388872146606
43, -0.351293683052063, 0.3641913831233978
44, -0.35748621821403503, 0.3706662356853485
45, -0.363599956035614, 0.3770598769187927
46, -0.36963629722595215, 0.38337376713752747
47, -0.37559667229652405, 0.3896099627017975
48, -0.38148248195648193, 0.3957716226577759
49, -0.38729506731033325, 0.4018585681915283
50, -0.3930358588695526, 0.4078735411167145
