Iteration, Displacement, Magnitude
1, -0.01066038478165865, 0.016094274818897247
2, -0.021643690764904022, 0.03263199329376221
3, -0.03292857110500336, 0.049587495625019073
4, -0.044478219002485275, 0.06690671294927597
5, -0.05624338239431381, 0.08450328558683395
6, -0.06817017495632172, 0.10228320956230164
7, -0.08020937442779541, 0.12016728520393372
8, -0.0923229232430458, 0.13809287548065186
9, -0.10448558628559113, 0.15602676570415497
10, -0.11668331921100616, 0.17397558689117432
11, -0.12891028821468353, 0.19191890954971313
12, -0.14116601645946503, 0.20985662937164307
13, -0.15345308184623718, 0.22779694199562073
14, -0.16577541828155518, 0.2457241714000702
15, -0.178136944770813, 0.2636179029941559
16, -0.19054071605205536, 0.2814383804798126
17, -0.20298829674720764, 0.2991597652435303
18, -0.21547937393188477, 0.3167722821235657
19, -0.22801144421100616, 0.3342142701148987
20, -0.24057996273040771, 0.3515092730522156
21, -0.2531783878803253, 0.3686285614967346
22, -0.2657983899116516, 0.38554081320762634
23, -0.27843019366264343, 0.4022146165370941
24, -0.29106301069259644, 0.41861552000045776
25, -0.3036853075027466, 0.4347479045391083
26, -0.31628522276878357, 0.4505878686904907
27, -0.32885080575942993, 0.46612757444381714
28, -0.3413703441619873, 0.4813976287841797
29, -0.35383254289627075, 0.4964004158973694
30, -0.3662267327308655, 0.5111359357833862
31, -0.37854278087615967, 0.5256224870681763
32, -0.3907715380191803, 0.539819598197937
33, -0.4029045104980469, 0.5537533164024353
34, -0.4149341583251953, 0.5674047470092773
35, -0.42685365676879883, 0.5807867050170898
36, -0.43865713477134705, 0.5939130187034607
37, -0.45033949613571167, 0.6067942380905151
38, -0.46189630031585693, 0.6194102764129639
39, -0.4733239710330963, 0.6318122744560242
40, -0.48461949825286865, 0.6439683437347412
41, -0.4957805871963501, 0.6558654308319092
42, -0.506805419921875, 0.6675170063972473
43, -0.5176926851272583, 0.6789345741271973
44, -0.5284416079521179, 0.6901127696037292
45, -0.53905189037323, 0.701049268245697
46, -0.5495234727859497, 0.7117434740066528
47, -0.5598567724227905, 0.7222051620483398
48, -0.5700523257255554, 0.7324498891830444
49, -0.580111026763916, 0.7424899339675903
50, -0.5900341272354126, 0.7523407340049744
